m.03cfqmy	people.ethnicity.languages_spoken	m.02h40lc
m.0jyc25y	film.film.genre	m.082gq
m.052p7	location.location.people_born_here	m.0h6gb3l
m.0qc7pmn	music.track_contribution.role	m.0290ngj
m.05qgp4b	book.written_work.author	m.0brk2q
m.075wddb	film.film.country	m.09c7w0
m.0hq0q4t	people.person.nationality	m.09c7w0
m.0gyt87j	people.person.profession	m.08z956
m.0113xfzh	location.location.time_zones	m.02k8gd
m.0g8bty	people.deceased_person.cause_of_death	m.02y0js
m.02r3p96	people.person.nationality	m.0d060g
m.02xry	location.location.contains	m.0rncv
m.0wgw_2c	people.person.profession	m.01d_h8
m.011pwfpd	music.track_contribution.role	m.05r5c
m.0dhqxfy	location.mailing_address.state_province_region	m.04rrx
m.02fqwt	time.time_zone.locations_in_this_time_zone	m.0z52w
m.09hjn1	music.artist.origin	m.02_286
m.06sbb4_	baseball.batting_statistics.team	m.07l8x
m.0bwnlhj	people.deceased_person.cause_of_death	m.0gg4h
m.0s69k	location.location.people_born_here	m.09r75g
m.01rh0w	film.actor.film	m.02tbhmx
m.0345h	media_common.netflix_genre.titles	m.04z_pxk
m.082db	music.artist.track	m.0x58tx0
m.01vs4ff	music.lyricist.lyrics_written	m.0fr7r7
m.09c7w0	location.location.contains	m.0sc9x
m.011v3	sports.sports_team.roster	m.0z5lh1g
m.03v4_3d	location.mailing_address.state_province_region	m.01x73
m.02prdzp	location.location.containedby	m.03v0t
m.07h346g	film.film.country	m.0345h
m.02qq_ww	people.person.nationality	m.03rk0
m.09z4ht	people.person.profession	m.02hrh1q
m.06mt91	music.artist.track_contributions	m.0v5s1wp
m.0qsnt8_	people.person.nationality	m.015fr
m.06p7n1y	baseball.batting_statistics.team	m.05m_8
m.06_4ztv	people.person.profession	m.02jknp
m.04p60cs	people.person.profession	m.05hj__k
m.027xqwv	music.artist.genre	m.0xhtw
m.0k2790s	people.person.profession	m.02hrh1q
m.0cfxtd	people.person.nationality	m.06bnz
m.0lbj961	music.group_membership.role	m.0342h
m.010llk_f	location.mailing_address.state_province_region	m.015jr
m.06r4lsk	baseball.batting_statistics.season	m.02h7s28
m.0j_vd4	people.person.nationality	m.0f8l9c
m.0fz3pmx	film.film.country	m.09c7w0
m.06zrvkj	people.person.profession	m.02h6p92
m.012whqlx	common.topic.notable_types	m.02_77lg
m.010n0_hn	music.track_contribution.role	m.07gql
m.0bfmz57	people.person.place_of_birth	m.05qtj
m.01sn3	location.location.people_born_here	m.0gxc89v
m.0b4vqt	people.person.profession	m.02xhgwq
m.08rg66	location.location.time_zones	m.02k8gd
m.06q9h3s	baseball.batting_statistics.team	m.01d5z
m.011kb1qs	people.person.nationality	m.03rjj
m.0bxbvs	people.person.profession	m.04s2z
m.03v1s	location.location.contains	m.03chs10
m.0b687f5	people.person.nationality	m.06c1y
m.01l63	location.location.people_born_here	m.02x7yhn
m.04kp1gq	sports.sports_team_roster.team	m.05l71
m.02q24rq	travel.tourist_attraction.near_travel_destination	m.01f08r
m.0h81tfl	film.film.country	m.03rk0
m.0c1xm	location.location.people_born_here	m.0fy6d7
m.0117smkh	base.schemastaging.athlete_salary.team	m.0cqt41
m.0hgqq	people.person.nationality	m.09c7w0
m.094sxj9	people.person.nationality	m.09c7w0
m.0156q	location.location.people_born_here	m.011l195s
m.0zt5myx	people.person.place_of_birth	m.0hyxv
m.06j6l	book.book_subject.works	m.0djt898
m.0rgt2cz	people.person.profession	m.0dxtg
m.02z6lvr	people.person.place_of_birth	m.017gry
m.0277gbm	people.person.nationality	m.09c7w0
m.027tgy	people.person.profession	m.05t4q
m.0f8l9c	location.location.contains	m.09rt4nq
g.11dyk80t8	people.person.profession	m.015h31
m.02fv_0	people.person.profession	m.02hrh1q
m.0h2njjy	people.person.profession	m.02hrh1q
m.04f2ctp	people.person.nationality	m.09c7w0
m.03rjj	location.location.contains	m.0gk29s
m.0dyjz	location.location.contains	m.07rbqz
m.01qpwjc	people.person.nationality	m.09c7w0
m.0hqgp	music.artist.track	m.0frjz0_
m.011sg6n7	people.person.profession	m.0dgd_
m.02fqwt	time.time_zone.locations_in_this_time_zone	m.0tbg9
m.06q495j	baseball.batting_statistics.team	m.05ll0s1
m.04rrd	location.location.contains	m.04991qd
m.08qp2f	music.artist.genre	m.064t9
m.0n1mfvp	education.education.major_field_of_study	m.03g3w
m.0d6lp	location.location.contains	m.065tj99
m.01_d4	location.location.people_born_here	m.03cq4cg
m.023wls	people.person.nationality	m.06bnz
m.02qrwsc	people.person.profession	m.0kyk
m.0k04gtf	people.person.profession	m.0dxtg
m.0526q_3	location.mailing_address.citytown	m.0h7h6
m.02vxr_y	film.film.genre	m.02822
m.03rjj	book.book_subject.works	m.0285j88
m.0kf7sy9	olympics.olympic_athlete_affiliation.country	m.0f8l9c
m.0gk_jhv	people.person.place_of_birth	m.04lh6
m.0406b7r	people.person.nationality	m.03rk0
m.09_db3	location.location.containedby	m.05qtj
m.09kxsm	people.person.nationality	m.07t21
m.0cmc9d0	location.location.containedby	m.09c7w0
m.0xnjrcz	people.person.profession	m.05hj__k
m.07npg24	olympics.olympic_medal_honor.country	m.09c7w0
m.07xx__4	location.mailing_address.state_province_region	m.059rby
g.11bt_cq7j5	film.film.country	m.09c7w0
m.01nxl6x	people.person.ethnicity	m.0x67
m.01pqqv	people.person.nationality	m.07ssc
m.0v7_3	location.location.people_born_here	m.06q87nh
m.0gtbj_m	people.person.profession	m.02jknp
m.03j24kf	music.lyricist.lyrics_written	m.06z1z7
m.0glqm6m	people.person.profession	m.09jwl
m.02vm5jn	location.location.containedby	m.09c7w0
m.04y_vvc	people.person.nationality	m.09c7w0
m.0gk05n	people.person.profession	m.02hrh1q
m.0hcbccn	people.person.profession	m.05hj__k
m.01s21dg	music.artist.track_contributions	m.0nj1r5k
g.11btxccclf	film.film.country	m.09c7w0
m.01lk419	music.artist.genre	m.016clz
m.011n8c43	music.group_membership.role	m.0342h
m.05b63hh	people.person.place_of_birth	m.0b2lw
m.01pz3f8	people.person.profession	m.02hrh1q
m.0gl4f91	people.person.profession	m.05hj__k
m.04660k6	people.person.nationality	m.077qn
m.0bn_hs	people.person.profession	m.0np9r
m.01344_0k	music.track_contribution.role	m.05r5c
m.053hgn	location.location.containedby	m.0vmt
m.06wz9j	people.person.profession	m.02xhr73
m.0g38xc	film.writer.film	m.0wjk75w
m.01crd5	location.location.people_born_here	m.0d35nd
m.02rwft1	music.group_member.instruments_played	m.02fsn
m.04q386_	film.film.country	m.09c7w0
m.047sxrj	music.artist.album	m.0nbb5y6
m.0bf09dv	people.person.profession	m.0dgd_
m.010wqbl4	people.person.profession	m.02hrh1q
m.0dzt9	location.location.people_born_here	m.010ntjj_
m.0802tl	people.person.profession	m.0cbd2
m.06q1r	location.country.first_level_divisions	m.0121b9
m.0bkp3g	location.administrative_division.first_level_division_of	m.02w9s
m.0j33dyh	people.person.profession	m.01d_h8
m.02qbz37	location.location.containedby	m.09c7w0
m.04mvy19	film.film.genre	m.03k9fj
m.02r3vvm	film.writer.film	m.02r3rry
m.06skq62	baseball.batting_statistics.team	m.01d6g
m.026gv9d	film.film.country	m.03gj2
m.010s0n1y	film.film.country	m.0345h
m.0rsvw_s	music.track_contribution.role	m.0342h
m.0d05w3	location.location.contains	m.0vzv64r
m.09_gv4	people.person.nationality	m.0f8l9c
m.06rhm0g	baseball.batting_statistics.team	m.05g76
m.035fzg	common.topic.notable_types	m.01xryvt
m.0486z5m	location.location.containedby	m.0vbk
m.0b6j570	soccer.football_player.position_s	m.02nzb8
m.0dk9_2	geography.river.basin_countries	m.0166b
m.07l50hv	people.person.profession	m.01d_h8
m.0986kp	people.person.profession	m.0dgd_
m.0110x0hy	people.person.profession	m.02jknp
m.04mzr0h	common.topic.notable_types	m.01y2hnl
m.0g4p1j5	people.person.profession	m.01d_h8
m.01mk6	location.location.people_born_here	m.0gvspgb
m.03v0t	location.location.contains	m.02pqqz_
m.015fr	location.location.contains	m.0l3q2
m.0y6bm8h	people.person.nationality	m.09c7w0
m.0987c1	people.family.members	m.06bbbt
m.05c3sxh	soccer.football_player.position_s	m.02nzb8
m.03zz_w	people.person.profession	m.09l65
m.010ky1y4	music.track_contribution.role	m.0l14md
m.0v1kn5y	people.person.nationality	m.09c7w0
m.0h4cpw	location.location.time_zones	m.02fqwt
m.06_7sp2	location.location.containedby	m.0f2nf
m.01n7fpg	music.artist.genre	m.026z9
m.0xb5z17	music.track_contribution.role	m.05148p4
m.09pkq0	location.location.contains	m.04yg6j_
m.0j2xff1	people.person.profession	m.05hj__k
m.0jmj	people.person.profession	m.0dxtg
m.06hb5	people.person.nationality	m.02jx1
m.0cgz2t	location.location.time_zones	m.042g7t
m.0nfwyn6	people.person.place_of_birth	m.05qtj
m.08x_qx	people.person.profession	m.099md
m.0h6mz52	film.film.genre	m.02822
m.01z20_0	location.location.containedby	m.09c7w0
m.035qy	location.location.contains	m.041138f
m.0n4p344	base.schemastaging.athlete_salary.team	m.0jmgb
m.059rby	location.location.people_born_here	m.011lt36m
m.0nhrl2k	people.person.profession	m.02h6p92
m.0wz1bng	people.person.profession	m.02hrh1q
m.0101fh79	people.person.profession	m.0fj9f
m.03l7xjv	location.mailing_address.citytown	m.05jbn
m.05q5r01	location.location.containedby	m.09c7w0
m.09c7w0	location.location.contains	m.04b8hft
m.03fnrc	sports.sports_team.roster	m.07y8dv4
m.05b3rsm	people.person.profession	m.09l65
m.011jdnck	people.person.profession	m.01d_h8
m.0f0s3py	film.film.genre	m.02822
m.01p58s6	people.person.profession	m.016z4k
m.05b4w	location.location.people_born_here	m.026hk6g
m.07b_l	location.location.contains	m.0102b_
m.06nm1	media_common.netflix_genre.titles	m.033jnl
m.0hgxz4s	people.person.profession	m.02jknp
m.07v6q8	people.person.place_of_birth	m.0qc7l
m.03j2svv	people.person.profession	m.025352
m.02llzg	time.time_zone.locations_in_this_time_zone	m.0gb1p4
m.0r5hpyv	people.person.profession	m.05t4q
m.0w2twyw	people.person.profession	m.03gjzk
m.05fjy	location.location.contains	m.04b9_k5
m.04844dk	location.location.time_zones	m.02fqwt
m.0kf8n7_	olympics.olympic_athlete_affiliation.country	m.09c7w0
m.062n8n	baseball.baseball_player.position_s	m.017drs
m.01sx2fq	people.person.profession	m.02hrh1q
m.05fbnbh	people.person.ethnicity	m.0x67
m.03ck24c	people.person.nationality	m.03_3d
m.03wb_t8	people.person.nationality	m.03rjj
m.0gg6l2_	film.film.genre	m.02822
m.0cm4mmw	people.person.profession	m.0dxtg
m.0hn3465	people.appointment.appointed_by	m.03_js
m.025w_4p	location.location.containedby	m.059g4
m.0417h2r	common.topic.notable_types	m.01xryvt
m.01vhp26	music.group_member.instruments_played	m.05r5c
m.0p8z4qt	film.film.country	m.03rk0
m.0glb2n	location.location.containedby	m.03rjj
m.0_sy55b	people.person.profession	m.02hrh1q
m.010n60_5	music.track_contribution.role	m.0290ngj
m.0cg8hx	people.person.profession	m.0fj9f
m.08tnzv	people.person.nationality	m.09c7w0
m.0v_35c0	location.mailing_address.citytown	m.030qb3t
m.03d50l7	people.person.place_of_birth	m.01cx_
m.0100rzcc	people.person.place_of_birth	m.0j95
m.010vzx22	film.film.genre	m.02822
m.0gc56rm	people.person.nationality	m.03rjj
m.0kbwb	film.film.featured_film_locations	m.0qpqn
m.03byqz	people.person.nationality	m.09c7w0
m.01ng3vs	music.artist.genre	m.06j6l
m.02llzg	time.time_zone.locations_in_this_time_zone	m.0gr3yj
m.0121qmqk	film.film.genre	m.02822
m.09rzpnw	location.mailing_address.country	m.09c7w0
m.05kyh45	organization.organization_membership.member	m.01nqj
m.04mw9h5	people.person.profession	m.02hrh1q
m.010n0zlt	music.track_contribution.role	m.0290ngj
m.0_g74	location.location.time_zones	m.02hcv8
m.0265l2	common.topic.notable_types	m.02_77lg
m.06p3xsr	baseball.batting_statistics.team	m.05g76
m.0fg31_	location.location.time_zones	m.02llzg
m.03p71f1	education.education.institution	m.01w3v
m.0n59tw8	people.person.profession	m.02hrh1q
m.019hz7	people.person.profession	m.0cbd2
m.0z3swpb	people.person.place_of_birth	m.052p7
m.01vmql0	music.artist.origin	m.0hyxv
m.06qrlhj	baseball.batting_statistics.season	m.025ygws
m.0qs7mx_	people.person.profession	m.01c72t
m.0j67ggv	people.person.nationality	m.09c7w0
m.0bh31t6	people.person.nationality	m.09c7w0
m.04bbqx5	location.location.containedby	m.059rby
m.02z58qy	people.person.nationality	m.0345h
m.027_5ft	location.location.containedby	m.09c7w0
m.03nsc3p	people.person.place_of_birth	m.01l63
m.048yq6j	location.location.containedby	m.09c7w0
m.03rk0	media_common.netflix_genre.titles	m.0d3298
m.041850p	people.person.profession	m.09jwl
m.06t2r2k	baseball.batting_statistics.team	m.01yhm
m.030qb3t	location.location.people_born_here	m.043rl2q
m.0b6f5f0	people.person.profession	m.02hrh1q
m.0j6q0t2	people.person.profession	m.02hrh1q
m.013439mz	music.track_contribution.role	m.0290ngj
m.052p7	location.location.people_born_here	m.05zyjb6
m.0bg3v4	people.person.place_of_birth	m.04swd
m.0n435r1	film.film.country	m.03rk0
m.0270djs	people.person.nationality	m.09c7w0
m.04zj813	location.mailing_address.state_province_region	m.04ych
m.0my0090	music.composition.composer	m.02qwg
m.0rzftnt	people.person.profession	m.0n1h
m.0dkx3	people.person.nationality	m.0f8l9c
m.0dhv6r9	location.mailing_address.state_province_region	m.059rby
m.043n4z_	people.person.nationality	m.0h7x
m.0zlw_bf	common.topic.notable_types	m.02nmm_l
m.03rjj	book.book_subject.works	m.04wj7p_
m.01tkf1	people.deceased_person.cause_of_death	m.034qg
m.07s7r2	common.topic.notable_types	m.02h65n3
m.0ncq3cq	people.person.profession	m.02hrh1q
m.0bmj1b1	people.person.nationality	m.06bnz
m.0h8b7p_	location.mailing_address.state_province_region	m.07dfk
m.059dn	user.ktrueman.default_domain.international_organization.official_language_s	m.02h40lc
m.06gchb	location.location.containedby	m.06mzp
m.0nd4lpw	music.artist.genre	m.064t9
m.06f5j	military.military_commander.military_commands	m.049y352
m.0js_x0	people.person.profession	m.02hrh1q
m.05hqps8	location.mailing_address.state_province_region	m.04rrd
m.02z8xr8	location.location.containedby	m.06mkj
m.0r5x97_	people.person.profession	m.04l1gwb
m.0vbk	location.location.contains	m.0487zzp
m.092hjm	people.person.nationality	m.09c7w0
m.0v0j52h	people.person.profession	m.012t_z
m.09c7w0	location.location.contains	m.04907gc
m.0zbf6km	people.person.profession	m.02hrh1q
m.07b_l	location.location.contains	m.010532
m.02llzg	time.time_zone.locations_in_this_time_zone	m.0268zsh
m.0gdk4ry	people.person.profession	m.02hrh1q
m.051yf1f	music.artist.origin	m.071cn
m.0nj9r10	music.track_contribution.role	m.05r5c
m.02z8vgd	location.location.containedby	m.06mkj
m.0clvsk3	location.location.containedby	m.05fkf
m.0fsb_6	sports.sports_team.roster	m.0h_3nrb
m.011c2nx7	people.person.profession	m.09jwl
m.03_9r	media_common.netflix_genre.titles	m.09d1rp
m.0g9n3ww	people.person.nationality	m.0h7x
m.05kkh	location.location.contains	m.0yyxn
m.0nk16n6	music.track_contribution.role	m.0342h
m.0wpbjlh	people.person.profession	m.02hrh1q
m.085h1	organization.organization.founders	m.06m_5
m.0q7_t7t	people.person.place_of_birth	m.0846v
m.09s5_0p	film.film.country	m.09c7w0
m.01180cs1	music.artist.album	m.01kx301
g.121mvy80	film.film.country	m.01rhrd
m.0v_nj9g	people.person.profession	m.01tkqy
m.01qp7sd	music.artist.genre	m.0ggq0m
m.047dvsq	people.person.profession	m.02hrh1q
m.09s8wxc	location.mailing_address.state_province_region	m.05k7sb
m.0hgv_t7	location.mailing_address.state_province_region	m.059_c
m.0809sv0	people.person.profession	m.03gjzk
m.010qdgj9	people.person.place_of_birth	m.0f2r6
m.0k3p	location.location.people_born_here	m.09tn5h1
m.0gbqw30	people.person.profession	m.018gz8
m.0bv8_hf	people.person.profession	m.02jknp
m.02x65wj	people.person.nationality	m.0f8l9c
m.0qysj	location.location.containedby	m.06pvr
m.0by00rn	location.location.containedby	m.077qn
m.05tbn	location.location.people_born_here	m.0_yf7f5
m.0b42v	people.person.profession	m.0kyk
m.04jlhjs	people.person.profession	m.02hrh1q
m.04ghdk2	location.location.containedby	m.01n7q
m.0g54j7	people.person.nationality	m.09c7w0
m.0xgz2	location.location.time_zones	m.02fqwt
m.032kr9	film.film.genre	m.01t_vv
m.0824r	location.location.contains	m.0117k_
m.0117tcrb	people.person.profession	m.09l65
m.0d7c6f	film.film.country	m.09c7w0
m.0wkj3wy	location.mailing_address.state_province_region	m.0chgr2
m.0n_ps	location.location.contains	m.048pw7q
m.04jhhq5	music.artist.genre	m.06by7
m.0crr4c	film.film.country	m.09c7w0
m.0520lwg	people.person.profession	m.02h664g
m.04gmm6l	common.topic.notable_types	m.01xryvt
m.0156q	location.location.people_born_here	m.0r8xr4m
m.0cc56	location.location.contains	m.02x0g39
m.03np749	people.person.nationality	m.077qn
m.04bwqsw	location.location.people_born_here	m.01_nh0
m.0gvvk42	people.deceased_person.place_of_death	m.0dn8b
m.02nr5x	film.film.country	m.09c7w0
m.0dh_sk	film.film.genre	m.02822
m.01whf49	music.artist.origin	m.02hgz
m.03rk0	location.location.contains	m.0f0783
m.0j49fnb	people.person.place_of_birth	m.0156q
m.0kfs6_n	film.film.country	m.0chghy
m.0ddhzv	people.person.profession	m.0np9r
m.0kfrh9c	people.person.profession	m.0385k
m.011kysxz	people.person.place_of_birth	m.0235n9
m.02q1cl1	location.location.containedby	m.09c7w0
m.02llzg	time.time_zone.locations_in_this_time_zone	m.0ghxby
m.04swd	location.location.people_born_here	m.0gg5tl_
m.0284gbn	location.location.containedby	m.081mh
m.0_yjphz	location.location.containedby	m.01_d4
m.0fwnzr	people.person.place_of_birth	m.04ykg
m.0bdlj	music.artist.track_contributions	m.010jxm6k
m.054c1	business.sponsored_recipient.sponsorship	m.03n9_nh
m.04vct7k	common.topic.notable_types	m.01xryw5
m.0b6fgsv	film.film.genre	m.01hmnh
m.02j9z	location.location.contains	m.0dddt2w
m.04z_d_9	music.artist.genre	m.03lty
m.0hpc4yh	sports.sports_team_roster.player	m.04d2_x
m.06t06yc	baseball.batting_statistics.team	m.0713r
m.0b6y1c	location.location.containedby	m.0j0k
m.02y651	people.person.place_of_birth	m.0j7ng
m.0428m6	people.person.nationality	m.09c7w0
m.0v1y1fy	people.person.nationality	m.09c7w0
m.0j38gdq	people.person.place_of_birth	m.056_y
m.03h3y8v	music.artist.track	m.0fyz4dc
m.0259r0	music.artist.genre	m.06by7
m.05mryq7	film.film.country	m.09c7w0
m.02jx1	location.location.people_born_here	m.027yyk
m.04sqj	location.location.people_born_here	m.0x01kv0
m.0zbg0h6	people.person.profession	m.01d30f
m.02rrhr5	people.person.place_of_birth	m.01lfy
m.015g7	location.location.events	m.0l2_zj4
m.02rnjhg	people.person.profession	m.02hrh1q
m.0t_f42b	film.film.country	m.0k6nt
m.0chgr2	location.location.contains	m.02wvd8
m.0fhp9	location.location.people_born_here	m.0cgkbj1
m.0fx6fy	common.topic.notable_types	m.02_77lg
m.050f7y	military.military_person.participated_in_conflicts	m.0cm2xh
m.02qfnc	location.location.partially_containedby	m.0vbk
m.047lyhx	people.deceased_person.cause_of_death	m.0gg4h
m.02lkcc	film.actor.film	m.0h1qdh9
m.02ph4pv	location.location.containedby	m.03v0t
m.0967850	people.person.place_of_birth	m.02z0j
m.09q_mh	people.person.profession	m.02hrh1q
m.01n4w	location.statistical_region.religions	m.04404s5
m.05b4w	location.location.contains	m.059fnr
m.0gk_w5c	film.film.country	m.09c7w0
m.04b5dw3	location.location.containedby	m.09c7w0
m.0cplc4s	education.education.degree	m.04zx3q1
m.088_21	people.person.profession	m.0dxtg
m.065vypv	olympics.olympic_medal_honor.olympics	m.016r9z
m.03y40b	people.person.profession	m.02hrh1q
m.01_d4	location.location.people_born_here	m.0fsjql
m.05fhy	location.location.contains	m.0x4k5
m.03c2wkd	people.person.place_of_birth	m.05fjf
m.06w8ds9	geography.river.mouth	m.05rgl
m.04qq3ty	basketball.basketball_player_stats.season	m.0802lk
m.0n64vmb	people.person.profession	m.03gjzk
g.1255xl6p9	common.notable_for.object	m.012t_z
m.0b_vqwy	film.film.genre	m.02822
m.02h8pkk	media_common.netflix_genre.titles	m.04j16jd
m.09sfr_4	location.mailing_address.citytown	m.0dclg
m.0f4bkr	location.location.containedby	m.06mkj
m.0g59ds_	people.person.profession	m.018gz8
m.010bvlx8	people.person.profession	m.016z4k
m.0c1k932	location.mailing_address.citytown	m.01k4f
m.0ndslbc	music.artist.origin	m.07t21
m.011p1mmm	people.person.profession	m.02jknp
m.06mkj	location.location.contains	m.0h65brn
m.0gsx_6	time.recurring_event.instances	m.010l2twf
m.0nk3c05	music.track_contribution.role	m.0290ngj
m.0nhdrq4	people.person.profession	m.09jwl
m.0br6b06	common.topic.notable_types	m.01xryvt
m.02583l	location.location.containedby	m.0d060g
m.07s846j	film.film.starring	m.09sdd6z
m.010wnfr8	music.track_contribution.role	m.0342h
m.012_w8	people.person.nationality	m.0ctw_b
m.0_1kj38	people.person.profession	m.0fj9f
m.09b3v	film.production_company.films	m.02vqpy9
m.01kcx_w	people.person.profession	m.09jwl
m.01qrf09	music.artist.track	m.0d_gc0t
m.0cbg43	people.person.profession	m.05snw
m.0k6r392	people.person.profession	m.0dxtg
m.02hcv8	time.time_zone.locations_in_this_time_zone	m.0z08t
m.0vsvrq9	people.person.profession	m.02hrh1q
m.0v40zlf	people.person.place_of_birth	m.0ply0
m.05tbn	location.location.contains	m.04985n
m.049257n	location.location.containedby	m.09c7w0
m.0pyqgpv	people.deceased_person.place_of_death	m.030qb3t
m.0491q4r	location.location.containedby	m.03v1s
m.06w2lcc	location.location.time_zones	m.02llzg
m.04b60b4	location.location.containedby	m.09c7w0
m.0h_fd2b	people.person.nationality	m.09c7w0
m.09l25n	common.topic.notable_types	m.01xrzm2
m.0632gc	people.person.nationality	m.0165b
m.0pw_r_8	base.schemastaging.phone_sandbox.service_location	m.09c7w0
m.0clw413	location.location.containedby	m.09c7w0
m.0b3wk	government.governmental_body.members	m.09pw27y
m.03_r3	location.location.people_born_here	m.027191x
m.0fq33t0	computer.software.languages_used	m.0jgqg
m.026hpp5	people.person.profession	m.09l65
m.05mt5gc	people.person.profession	m.0nbcg
m.0fs0hw	people.person.profession	m.09x_r
m.0f8l9c	location.location.contains	g.122ds5xg
m.04bgvw1	location.location.containedby	m.0n25q
m.012kn0zk	music.track_contribution.role	m.06ncr
m.0_rhdbm	film.film.country	m.0154j
m.0bprqs	people.person.profession	m.01d_h8
m.03qmwqw	film.film.country	m.0345h
m.0_z97tr	location.location.containedby	m.01pj7
m.0t4_s5d	people.person.nationality	m.09c7w0
m.0166b	location.location.containedby	m.02qkt
m.06x3cn	people.person.profession	m.01d_h8
m.0dxfj3z	people.person.profession	m.0dgd_
m.02hczc	time.time_zone.locations_in_this_time_zone	m.0b0krw
m.08ny5g	people.person.profession	m.09l65
m.03px0nn	people.place_lived.location	m.0d6lp
m.027sf59	location.location.containedby	m.06mzp
m.03d0x8x	film.film.country	m.09c7w0
m.03cqhkm	people.person.place_of_birth	m.01ls2
m.0yfn1	location.location.containedby	m.05fkf
m.0s9k69f	people.person.profession	m.0dz3r
m.06s1589	baseball.batting_statistics.team	m.02d02
m.02cwgr	people.person.profession	m.0d8qb
m.01x2jc9	people.person.profession	m.09jwl
m.0rnqsnb	people.person.profession	m.0dxtg
m.04m9443	location.mailing_address.country	m.0chghy
m.04cr3pq	location.location.containedby	m.01n7q
m.094jg3	people.person.profession	m.02jknp
m.098x_m	people.person.profession	m.09l65
m.02r1jq5	education.educational_institution.colors	m.01g5v
m.0fl3_d	location.location.containedby	m.02dtg
m.08gcm3	people.person.nationality	m.09c7w0
m.0_swz	location.location.people_born_here	m.08p4f4
m.0j6w_8t	people.person.profession	m.02jknp
m.0w2m4_g	people.person.profession	m.02hrh1q
m.05c0lsg	people.deceased_person.place_of_death	m.0rh6k
m.09c7w0	location.location.contains	m.049b53b
m.0wdyn	location.location.containedby	m.04ykg
m.0czq68c	government.government_position_held.office_holder	m.02rjxcd
m.0h3y	location.location.contains	m.09v61w6
g.11b8893c8k	music.track_contribution.role	m.018vs
m.0yyp9	location.location.containedby	m.05kkh
m.0c48ny_	common.topic.notable_types	m.01xryvt
m.03cxbkd	people.person.profession	m.03gjzk
m.0_hc_7q	people.person.profession	m.01445t
m.04rrd	location.location.contains	m.049b831
m.0ks8j2	people.person.nationality	m.0d0vqn
m.02phjjx	location.location.time_zones	m.02fqwt
m.02qm4m9	people.person.religion	m.0c8wxp
m.0zw2tfr	people.deceased_person.cause_of_death	m.0qcr0
m.0j8k0k8	people.person.place_of_birth	m.01mb87
m.0n021pt	people.person.profession	m.0dxtg
m.0vvhd0t	people.person.nationality	m.09c7w0
m.0zdhtfb	people.person.nationality	m.06qd3
m.0d05w3	location.location.contains	m.0wfbsky
m.06pkxty	baseball.batting_statistics.season	m.02h7s3j
m.0jy44_	people.person.nationality	m.03_3d
m.06s95k	soccer.football_player.position_s	m.02nzb8
m.07bp6b	organization.organization.geographic_scope	m.059rby
m.0vdx8	location.location.containedby	m.09c7w0
m.06zqn23	people.person.place_of_birth	m.01l63
m.032lb9	people.person.profession	m.04gc2
m.049nq	location.location.contains	m.0vhqr
m.04ppzs	people.person.nationality	m.09c7w0
m.0pqyfv_	location.mailing_address.citytown	m.02_286
m.010gdsdc	film.film.country	m.0f8l9c
m.03qn13s	people.person.nationality	m.09c7w0
m.0b49fw	film.film.genre	m.02822
m.0gx1_nt	film.film.genre	m.02822
m.02gxg6	people.person.place_of_birth	m.02cft
m.0bvqffw	people.person.nationality	m.01mk6
m.0285_01	location.location.containedby	m.0chghy
m.0yqk885	location.location.containedby	m.05r4w
m.05gnzn	common.topic.notable_types	m.01xryvt
m.0q56j5s	people.person.nationality	m.02jx1
m.0jw6n7	people.person.profession	m.01d_h8
m.03h605b	location.location.containedby	m.03v1s
m.0g53l9w	soccer.football_player.position_s	m.02nzb8
m.04_6ztn	people.person.profession	m.02jknp
m.0r9hjb7	people.person.profession	m.0dypbr
m.0kh4tkf	olympics.olympic_athlete_affiliation.sport	m.01hp22
m.04bc_3s	location.location.containedby	m.059rby
g.125c4kr6v	common.notable_for.notable_object	m.05qdh
m.04tgp	location.location.contains	m.04b2q8h
m.03cwx9m	people.person.nationality	m.05b4w
m.0gdjq4d	people.person.nationality	m.035qy
m.02q7nkb	location.location.containedby	m.09c7w0
m.05ygxhp	common.topic.notable_types	m.01xryvt
m.019rdm	time.time_zone.locations_in_this_time_zone	g.122dlg3x
m.0g9h5ym	people.person.place_of_birth	m.06pr6
m.0pmjdng	base.schemastaging.phone_sandbox.service_location	m.0d060g
m.04c2rnl	location.location.time_zones	m.02hcv8
m.0crvmg4	film.film.country	m.09c7w0
m.0kmvbby	people.person.profession	m.0c5lg
m.017v_	location.location.contains	m.02rb805
m.0wr1cvj	people.person.profession	m.02hrh1q
m.0gcy1n6	people.person.place_of_birth	m.030qb3t
m.06ssk_h	baseball.batting_statistics.season	m.04110f5
m.02c9wd	common.topic.notable_types	m.01xryvt
m.02p52mt	music.artist.genre	m.01243b
m.0f1t_z9	people.person.profession	m.09jwl
m.0hh795g	people.person.place_of_birth	m.04jpl
m.0hndjw7	people.person.profession	m.0fj9f
m.0hpvw	people.person.profession	m.0nbcg
m.09sbpx3	location.mailing_address.state_province_region	m.05k7sb
m.02j71	base.aareas.schema.administrative_area.administrative_children	m.03ryn
g.122h0hxj	common.topic.notable_types	m.01xryvt
m.0122yr2c	music.track_contribution.role	m.0290ngj
m.05v8fkm	film.production_company.films	m.0qm8b
m.040b87	people.person.profession	m.0fj9f
